CLOSE,DATE
467.6,2023-01-19
468.2,2023-01-20
482.0,2023-01-23
474.4,2023-01-24
478.4,2023-01-25
476.2,2023-01-26
475.0,2023-01-27
482.2,2023-01-30
488.2,2023-01-31
488.8,2023-02-01
492.0,2023-02-02
485.2,2023-02-03
493.4,2023-02-06
490.8,2023-02-07
487.6,2023-02-08
482.0,2023-02-09
481.0,2023-02-10
482.4,2023-02-13
485.6,2023-02-14
460.0,2023-02-15
456.4,2023-02-16
456.4,2023-02-17
456.4,2023-02-20
468.2,2023-02-21
465.4,2023-02-22
473.4,2023-02-24
476.6,2023-02-27
475.6,2023-02-28
487.2,2023-03-01
475.2,2023-03-02
479.8,2023-03-03
489.8,2023-03-06
486.8,2023-03-07
488.6,2023-03-09
485.6,2023-03-10
497.8,2023-03-13
507.2,2023-03-14
